Problem,Greedy Profit,Greedy Weight,Greedy Time,Brute Force Profit,Brute Force Weight,Brute Force Time,Branch and Bound Profit,Branch and Bound Weight,Branch and Bound Time,Dynamic Profit,Dynamic Weight,Dynamic Time,OR_Dynamic Profit,OR_Dynamic Weight,OR_Dynamic Time,OR_Integer Profit,OR_Integer Weight,OR_Integer Time,
problem_100_500_1_1_5.txt,10845,4323,0.000015,5977,4458,10.730037,11088,4552,0.177254,11175,4554,0.027364,11175,4554,0.004718,11175,4554,0.030371,
problem_100_500_2_1_5.txt,5174,4353,0.000015,4789,4548,10.669080,5392,4563,0.000475,5403,4561,0.026915,5403,4561,0.005242,5403,4561,0.022121,
problem_100_500_3_1_5.txt,4823,4453,0.000017,4762,4582,10.731635,4952,4582,1.219118,4952,4582,0.026698,4952,4582,0.008434,4952,4582,0.023685,
problem_100_500_4_1_5.txt,4368,4368,0.000005,4582,4582,10.728328,4327,4327,10.000695,4582,4582,0.026053,4582,4582,0.001031,4582,4582,0.007947,
problem_100_1000_1_1_5.txt,20724,8719,0.000015,8954,9350,10.664888,21447,9358,0.002105,21538,9353,0.055339,21538,9353,0.010569,21538,9353,0.015512,
problem_100_1000_2_1_5.txt,10002,8723,0.000014,10137,9378,10.698880,10688,9383,0.012058,10713,9395,0.056295,10713,9395,0.007119,10713,9395,0.082870,
problem_100_1000_3_1_5.txt,8983,8593,0.000016,9168,8998,10.566582,9286,8896,10.000384,9388,8998,0.052519,9388,8998,0.017153,9388,8998,0.061141,
problem_100_1000_4_1_5.txt,8868,8868,0.000005,8998,8998,10.701786,8327,8327,10.001267,8998,8998,0.052403,8998,8998,0.001834,8998,8998,0.096364,
problem_500_50_1_1_5.txt,5862,2119,0.000075,679,538,10.675940,5891,2147,0.220752,5900,2147,0.066436,5900,2147,0.063771,5900,2147,0.029496,
problem_500_50_2_1_5.txt,2607,2127,0.000078,535,512,10.498596,2628,2147,0.025574,2629,2147,0.063184,2629,2147,0.048784,2629,2147,0.019441,
problem_500_50_3_1_5.txt,4210,2130,0.000064,825,595,10.532794,3534,1684,10.000342,4218,2138,0.064040,4218,2138,0.091949,4218,2138,0.008286,
problem_500_50_4_1_5.txt,2123,2123,0.000029,595,595,10.535923,310,310,10.003736,2138,2138,0.063151,2138,2138,0.005455,2138,2138,0.005274,
problem_500_100_1_1_5.txt,12498,4026,0.000081,1351,954,10.696464,12546,4072,0.022017,12563,4072,0.118422,12563,4072,0.123445,12563,4072,0.034743,
problem_500_100_2_1_5.txt,5000,4065,0.000074,983,954,10.660944,5007,4072,0.017218,5007,4072,0.118415,5007,4072,0.093922,5007,4072,0.022259,
problem_500_100_3_1_5.txt,6259,4259,0.000077,1325,1095,10.650185,4562,2912,10.003479,6280,4280,0.124936,6280,4280,0.163717,6280,4280,0.007804,
problem_500_100_4_1_5.txt,4233,4233,0.000017,1095,1095,10.661636,710,710,10.001943,4280,4280,0.125658,4280,4280,0.010956,4280,4280,0.009551,
problem_500_500_1_1_5.txt,62046,20047,0.000082,6495,6092,10.469666,62254,20239,1.604132,62328,20239,0.599451,62328,20239,0.634481,62328,20239,0.058834,
problem_500_500_2_1_5.txt,24300,20104,0.000081,6358,6354,10.504496,24443,20239,1.166704,24446,20239,0.585119,24446,20239,0.462780,24445,20239,0.290307,
problem_500_500_3_1_5.txt,23197,21177,0.000077,7025,6795,10.645315,14012,12472,10.004499,23333,21313,0.619566,23333,21313,0.811130,23331,21311,0.140779,
problem_500_500_4_1_5.txt,21185,21185,0.000018,6795,6795,10.653962,4110,4110,10.002992,21313,21313,0.613669,21313,21313,0.052529,21313,21313,0.011813,
problem_500_1000_1_1_5.txt,121774,41172,0.000082,10451,15354,10.703210,122012,41393,0.204495,122093,41405,1.220106,122093,41405,1.249301,122093,41405,0.049785,
problem_500_1000_2_1_5.txt,48021,40619,0.000083,15843,15354,10.471082,48812,41402,1.667563,48883,41406,1.200474,48883,41406,0.922235,48883,41406,0.059210,
problem_500_1000_3_1_5.txt,44994,43004,0.000095,14025,13795,10.719418,23465,22035,10.001975,45303,43313,1.255385,45303,43313,1.524559,45303,43313,0.091168,
problem_500_1000_4_1_5.txt,43185,43185,0.000016,13795,13795,10.724359,8110,8110,10.003318,43313,43313,1.251777,43313,43313,0.106342,43313,43313,0.018704,
problem_10_50_1_2_5.txt,106,44,0.000001,127,84,0.000993,127,84,0.000058,127,84,0.000061,127,84,0.000019,127,84,0.008027,
problem_10_50_2_2_5.txt,84,73,0.000002,91,84,0.000535,91,84,0.000082,91,84,0.000054,91,84,0.000021,91,84,0.008548,
problem_10_50_3_2_5.txt,127,77,0.000002,139,89,0.000527,139,89,0.000712,139,89,0.000079,139,89,0.000022,139,89,0.009069,
problem_10_50_4_2_5.txt,68,68,0.000001,90,90,0.000555,90,90,0.005784,90,90,0.000084,90,90,0.000027,90,90,0.010040,
problem_10_100_1_2_5.txt,296,185,0.000002,302,201,0.000638,302,201,0.000057,302,201,0.000153,302,201,0.000028,302,201,0.019832,
problem_10_100_2_2_5.txt,214,197,0.000002,215,198,0.000780,215,198,0.000148,215,198,0.000131,215,198,0.000034,215,198,0.009209,
problem_10_100_3_2_5.txt,235,185,0.000002,235,185,0.000522,235,185,0.000053,235,185,0.000121,235,185,0.000027,235,185,0.009025,
problem_10_100_4_2_5.txt,118,118,0.000001,190,190,0.000610,190,190,0.004598,190,190,0.000119,190,190,0.000025,190,190,0.005052,
problem_10_500_1_2_5.txt,1376,496,0.000002,1598,718,0.000507,1598,718,0.000072,1598,718,0.000440,1598,718,0.000029,1598,718,0.010142,
problem_10_500_2_2_5.txt,802,675,0.000002,847,728,0.000558,821,722,0.000094,847,728,0.000444,847,728,0.000030,847,728,0.007709,
problem_10_500_3_2_5.txt,620,570,0.000002,838,788,0.000640,838,788,0.001253,838,788,0.000487,838,788,0.000033,838,788,0.038122,
problem_10_500_4_2_5.txt,500,500,0.000001,788,788,0.000519,788,788,0.019061,788,788,0.000476,788,788,0.000043,788,788,0.065581,
problem_10_1000_1_2_5.txt,2711,1478,0.000002,3009,1753,0.000530,3009,1753,0.000042,3009,1753,0.001137,3009,1753,0.000046,3009,1753,0.007947,
problem_10_1000_2_2_5.txt,1903,1623,0.000002,2139,1898,0.000535,2139,1898,0.000066,2139,1898,0.001111,2139,1898,0.000037,2139,1898,0.007072,
problem_10_1000_3_2_5.txt,1563,1523,0.000002,1983,1953,0.000492,1983,1953,0.027781,1983,1953,0.001217,1983,1953,0.000113,1983,1953,0.313034,
problem_10_1000_4_2_5.txt,1694,1694,0.000001,1953,1953,0.000598,1953,1953,0.026108,1953,1953,0.001159,1953,1953,0.000040,1953,1953,0.074264,
problem_50_50_1_2_5.txt,791,392,0.000008,535,406,10.344062,800,404,0.001759,802,406,0.001246,802,406,0.000311,802,406,0.013308,
problem_50_50_2_2_5.txt,463,402,0.000008,426,406,10.367448,466,406,0.007897,466,406,0.001252,466,406,0.000285,466,406,0.011792,
problem_50_50_3_2_5.txt,670,380,0.000018,592,402,10.529300,692,402,1.659437,692,402,0.001229,692,402,0.000336,692,402,0.014226,
problem_50_50_4_2_5.txt,397,397,0.000004,402,402,10.546742,322,322,10.001379,402,402,0.001268,402,402,0.000167,402,402,0.007503,
problem_50_100_1_2_5.txt,1610,788,0.000008,1053,821,10.363665,1626,823,0.000972,1629,813,0.002436,1629,812,0.000553,1629,813,0.025226,
problem_50_100_2_2_5.txt,864,745,0.000008,888,821,10.576015,944,823,0.001543,944,823,0.002384,944,823,0.000527,944,823,0.016055,
problem_50_100_3_2_5.txt,1116,846,0.000008,1066,886,10.611631,1156,886,0.260835,1156,886,0.002730,1156,886,0.000738,1156,886,0.016427,
problem_50_100_4_2_5.txt,854,854,0.000004,886,886,10.413731,722,722,10.001765,886,886,0.002702,886,886,0.000218,886,886,0.006673,
problem_50_500_1_2_5.txt,7414,4333,0.000008,5854,4714,10.417478,7427,4669,0.000455,7733,4700,0.014124,7733,4700,0.001839,7733,4700,0.016028,
problem_50_500_2_2_5.txt,5237,4612,0.000016,5038,4718,10.604781,5336,4722,0.005494,5336,4722,0.014025,5336,4722,0.001612,5336,4722,0.025685,
problem_50_500_3_2_5.txt,4574,4294,0.000008,4542,4352,10.610197,4632,4352,0.005767,4632,4352,0.012841,4632,4352,0.003492,4632,4352,0.019394,
problem_50_500_4_2_5.txt,4147,4147,0.000004,4352,4352,10.607912,3322,3322,10.001937,4352,4352,0.013051,4352,4352,0.000879,4352,4352,0.014511,
problem_50_1000_1_2_5.txt,15498,8224,0.000010,12093,8713,10.596675,15615,8678,0.001563,15814,8717,0.026148,15814,8717,0.003836,15814,8717,0.029646,
problem_50_1000_2_2_5.txt,9575,8343,0.000008,9157,8717,10.300373,9961,8721,0.005674,9961,8721,0.026734,9961,8721,0.003419,9961,8721,0.238301,
problem_50_1000_3_2_5.txt,9253,8993,0.000009,9532,9352,10.338197,9612,9352,0.127201,9612,9352,0.027485,9612,9352,0.006845,9612,9352,0.178898,
problem_50_1000_4_2_5.txt,9002,9002,0.000004,9352,9352,10.485023,8322,8322,10.001807,9352,9352,0.027628,9352,9352,0.001647,9352,9352,0.018854,
problem_100_50_1_2_5.txt,1587,784,0.000017,574,569,10.552526,1587,784,0.001341,1587,784,0.004734,1587,786,0.001545,1587,784,0.007465,
problem_100_50_2_2_5.txt,869,750,0.000015,566,569,10.496451,906,786,0.001091,906,786,0.004653,906,786,0.001243,906,786,0.021307,
problem_100_50_3_2_5.txt,1395,815,0.000016,783,553,10.346480,1411,831,5.396301,1411,831,0.004915,1411,831,0.002452,1411,831,0.007221,
problem_100_50_4_2_5.txt,800,800,0.000007,556,556,10.573565,322,322,10.001136,831,831,0.005013,831,831,0.000396,831,831,0.006949,
problem_100_100_1_2_5.txt,3330,1491,0.000017,1224,1269,10.604620,3357,1569,0.002294,3403,1570,0.009127,3403,1570,0.003409,3403,1570,0.015743,
problem_100_100_2_2_5.txt,1745,1506,0.000015,1291,1269,10.582822,1810,1570,0.001587,1811,1570,0.009183,1811,1570,0.002569,1811,1570,0.017309,
problem_100_100_3_2_5.txt,2165,1585,0.000017,1535,1305,10.555006,2069,1509,10.002939,2211,1631,0.009495,2211,1631,0.005184,2211,1631,0.030724,
problem_100_100_4_2_5.txt,1606,1606,0.000006,1305,1305,10.568246,722,722,10.002486,1631,1631,0.009672,1631,1631,0.000848,1631,1631,0.008649,
problem_100_500_1_2_5.txt,14874,8909,0.000017,6209,5828,10.374562,14874,8909,0.002091,14912,8959,0.052456,14912,8959,0.014947,14912,8959,0.238487,
problem_100_500_2_2_5.txt,9661,8559,0.000014,6424,6269,10.252215,10075,8966,0.073544,10083,8970,0.053158,10083,8970,0.012988,10083,8970,0.039156,
problem_100_500_3_2_5.txt,9156,8586,0.000017,6183,5953,10.404064,9201,8631,0.015661,9201,8631,0.050716,9201,8631,0.022902,9201,8631,0.013541,
problem_100_500_4_2_5.txt,8206,8206,0.000008,5953,5953,10.410350,3322,3322,10.000755,8631,8631,0.049700,8631,8631,0.004283,8631,8631,0.005839,
problem_100_1000_1_2_5.txt,30360,17714,0.000016,13709,12328,10.409688,30396,17957,0.001441,30553,17951,0.105731,30553,17951,0.029524,30553,17951,0.012685,
problem_100_1000_2_2_5.txt,19871,17423,0.000016,12837,12769,10.418373,20435,17963,0.004937,20438,17967,0.103420,20438,17970,0.025144,20438,17970,0.031399,
problem_100_1000_3_2_5.txt,17374,16804,0.000016,13683,13453,10.417662,17535,16965,0.018866,17535,16965,0.101019,17535,16965,0.050121,17535,16965,0.010473,
problem_100_1000_4_2_5.txt,16673,16673,0.000008,13453,13453,10.327160,8322,8322,10.002741,16965,16965,0.098893,16965,16965,0.006957,16965,16965,0.032706,
problem_500_50_1_2_5.txt,8111,4322,0.000083,574,569,10.513447,8111,4322,0.256235,8111,4322,0.129232,8111,4322,0.185280,8111,4322,0.009317,
problem_500_50_2_2_5.txt,4953,4307,0.000087,566,569,10.324350,4968,4322,0.673909,4968,4322,0.124520,4968,4322,0.146270,4968,4322,0.012276,
problem_500_50_3_2_5.txt,7076,4176,0.000078,785,555,10.551725,5454,2994,10.001249,7090,4190,0.121533,7090,4190,0.252464,7090,4190,0.007117,
problem_500_50_4_2_5.txt,4180,4180,0.000022,555,555,10.510862,306,306,10.002616,4190,4190,0.124039,4190,4190,0.039482,4190,4190,0.011614,
problem_500_100_1_2_5.txt,16440,8356,0.000084,1224,1269,10.216686,16443,8368,0.038517,16455,8372,0.249318,16455,8372,0.368080,16455,8372,0.028025,
problem_500_100_2_2_5.txt,9614,8356,0.000083,1291,1269,10.361768,9630,8372,0.273751,9630,8372,0.244897,9630,8372,0.284317,9630,8372,0.015952,
problem_500_100_3_2_5.txt,11205,8315,0.000083,1535,1305,10.553506,11009,8149,10.001025,11213,8323,0.251127,11213,8323,0.461530,11213,8323,0.008575,
problem_500_100_4_2_5.txt,8315,8315,0.000021,1253,1253,10.270703,656,656,10.001823,8323,8323,0.241452,8323,8323,0.074785,8323,8323,0.006571,
problem_500_500_1_2_5.txt,79924,42610,0.000088,6220,6248,10.490828,79936,42657,0.041752,79974,42668,1.264691,79974,42668,1.842172,79974,42668,0.026186,
problem_500_500_2_2_5.txt,48277,42498,0.000086,6424,6269,10.346273,48456,42672,0.261342,48459,42672,1.264933,48459,42672,1.383179,48459,42672,0.033095,
problem_500_500_3_2_5.txt,45372,42512,0.000096,6183,5953,10.329769,43247,40457,10.003100,45417,42557,1.261832,45417,42557,2.187262,45417,42557,0.034982,
problem_500_500_4_2_5.txt,42392,42392,0.000024,5953,5953,10.357568,2856,2856,10.001743,42557,42557,1.236254,42557,42557,0.405604,42557,42557,0.012321,
problem_500_1000_1_2_5.txt,161198,83919,0.000093,13720,12748,10.550711,161241,84324,0.040543,161592,84328,2.457296,161592,84330,3.703929,161592,84330,0.035363,
problem_500_1000_2_2_5.txt,96111,84317,0.000096,12837,12769,10.527431,96130,84337,0.209127,96131,84338,2.462581,96131,84338,2.722180,96131,84338,0.030471,
problem_500_1000_3_2_5.txt,86564,83654,0.000092,13683,13453,10.550415,86633,83723,8.728560,86633,83723,2.486407,86633,83723,4.440399,86633,83723,0.055725,
problem_500_1000_4_2_5.txt,82918,82918,0.000027,13453,13453,10.329737,7356,7356,10.003560,83723,83723,2.439168,83723,83723,0.779593,83723,83723,0.027456,
problem_10_50_1_3_5.txt,160,70,0.000002,167,80,0.000559,160,70,0.000035,167,80,0.000057,167,80,0.000019,167,80,0.009105,
problem_10_50_2_3_5.txt,83,74,0.000002,91,83,0.000575,91,85,0.000039,91,85,0.000068,91,83,0.000020,91,83,0.009342,
problem_10_50_3_3_5.txt,155,95,0.000002,167,107,0.000521,167,107,0.000485,167,107,0.000087,167,107,0.000021,167,107,0.012797,
problem_10_50_4_3_5.txt,104,104,0.000003,107,107,0.000518,107,107,0.000363,107,107,0.000069,107,107,0.000022,107,107,0.004473,
problem_10_100_1_3_5.txt,416,96,0.000002,438,124,0.000568,438,124,0.000072,438,124,0.000086,438,124,0.000023,438,124,0.007226,
problem_10_100_2_3_5.txt,120,85,0.000002,170,134,0.000523,170,134,0.000051,170,134,0.000093,170,134,0.000024,170,134,0.013059,
problem_10_100_3_3_5.txt,196,126,0.000002,252,182,0.001462,252,182,0.000321,252,182,0.000117,252,182,0.000028,252,182,0.014302,
problem_10_100_4_3_5.txt,132,132,0.000001,182,182,0.001005,182,182,0.009454,182,182,0.000118,182,182,0.000029,182,182,0.008440,
problem_10_500_1_3_5.txt,1494,1090,0.000002,1501,1170,0.000542,1494,1090,0.000039,1501,1170,0.000721,1501,1170,0.000046,1501,1170,0.010142,
problem_10_500_2_3_5.txt,1215,1144,0.000002,1233,1183,0.000535,1215,1144,0.000032,1233,1183,0.000712,1233,1183,0.000046,1233,1183,0.009092,
problem_10_500_3_3_5.txt,969,899,0.000002,1092,1032,0.000521,1092,1032,0.001247,1092,1032,0.000620,1092,1032,0.000049,1092,1032,0.035908,
problem_10_500_4_3_5.txt,904,904,0.000002,1032,1032,0.000527,1032,1032,0.016414,1032,1032,0.000615,1032,1032,0.000067,1032,1032,0.011761,
problem_10_1000_1_3_5.txt,3347,1663,0.000002,3725,2152,0.000519,3692,2186,0.000041,3725,2152,0.001281,3725,2152,0.000056,3725,2152,0.006833,
problem_10_1000_2_3_5.txt,1919,1796,0.000001,2148,2181,0.000517,2084,2178,0.000045,2148,2181,0.001310,2148,2181,0.000054,2148,2181,0.013729,
problem_10_1000_3_3_5.txt,1320,1250,0.000002,1589,1529,0.000570,1589,1529,0.004053,1589,1529,0.000912,1589,1529,0.000082,1589,1529,0.070485,
problem_10_1000_4_3_5.txt,1404,1404,0.000002,1532,1532,0.000558,1532,1532,0.027766,1532,1532,0.000955,1532,1532,0.000061,1532,1532,0.007810,
problem_50_50_1_3_5.txt,1049,535,0.000009,506,465,10.387339,1052,539,0.000521,1052,539,0.002001,1052,539,0.000356,1052,539,0.014698,
problem_50_50_2_3_5.txt,595,536,0.000008,452,465,10.407368,597,541,0.000436,599,541,0.001612,599,541,0.000401,599,541,0.009478,
problem_50_50_3_3_5.txt,893,533,0.000009,676,446,10.386139,897,537,0.001490,897,537,0.001573,897,537,0.000483,897,537,0.012398,
problem_50_50_4_3_5.txt,536,536,0.000006,446,446,10.398474,303,303,10.001148,537,537,0.001636,537,537,0.000256,537,537,0.008853,
problem_50_100_1_3_5.txt,2088,1035,0.000010,1106,915,10.336758,2088,1035,0.000503,2088,1040,0.003074,2088,1035,0.000645,2088,1035,0.009381,
problem_50_100_2_3_5.txt,1164,1008,0.000008,978,925,10.533341,1193,1040,0.005098,1194,1041,0.003067,1194,1041,0.000643,1194,1041,0.015216,
problem_50_100_3_3_5.txt,1412,1062,0.000008,1182,952,10.525127,1462,1112,2.928087,1462,1112,0.003290,1462,1112,0.000950,1462,1112,0.013256,
problem_50_100_4_3_5.txt,1104,1104,0.000005,952,952,10.542787,553,553,10.001628,1112,1112,0.003236,1112,1112,0.000389,1112,1112,0.224335,
problem_50_500_1_3_5.txt,8824,6405,0.000009,4906,5415,10.325808,8824,6405,0.000504,8846,6433,0.019277,8846,6433,0.003715,8846,6433,0.010784,
problem_50_500_2_3_5.txt,6666,6170,0.000008,5267,5415,10.509997,6777,6425,0.000514,6925,6439,0.019548,6925,6439,0.003712,6925,6439,0.045707,
problem_50_500_3_3_5.txt,6070,5720,0.000009,6076,5846,10.238284,6262,5912,2.096515,6262,5912,0.017308,6262,5912,0.005407,6262,5912,0.036410,
problem_50_500_4_3_5.txt,5846,5846,0.000005,5846,5846,10.403371,3053,3053,10.002162,5912,5912,0.017212,5912,5912,0.001616,5912,5912,0.013653,
problem_50_1000_1_3_5.txt,19159,12829,0.000009,12396,11176,10.389007,19237,13671,0.000501,19896,13673,0.040109,19896,13673,0.005848,19896,13673,0.013174,
problem_50_1000_2_3_5.txt,14474,13513,0.000008,11511,11647,10.408162,14554,13632,0.000336,14634,13691,0.040133,14634,13691,0.006283,14634,13691,0.013708,
problem_50_1000_3_3_5.txt,13317,12977,0.000008,12576,12346,10.389533,13502,13162,0.134854,13502,13162,0.038594,13502,13162,0.010843,13502,13162,0.035950,
problem_50_1000_4_3_5.txt,13010,13010,0.000005,12552,12552,10.497356,5553,5553,10.001262,13162,13162,0.038235,13162,13162,0.003565,13162,13162,0.074633,
problem_100_50_1_3_5.txt,2086,1206,0.000026,506,465,10.491378,2090,1213,0.003493,2093,1216,0.007310,2093,1216,0.002665,2093,1216,0.008639,
problem_100_50_2_3_5.txt,1315,1178,0.000016,452,465,10.330816,1352,1216,0.085718,1352,1216,0.007267,1352,1216,0.002639,1352,1216,0.069333,
problem_100_50_3_3_5.txt,1922,1192,0.000018,676,446,10.344793,1932,1202,0.223376,1932,1202,0.007092,1932,1202,0.003975,1932,1202,0.015338,
problem_100_50_4_3_5.txt,1195,1195,0.000011,446,446,10.331998,303,303,10.000457,1202,1202,0.007074,1202,1202,0.001312,1202,1202,0.007839,
problem_100_100_1_3_5.txt,4142,2234,0.000017,1150,925,10.524109,4142,2234,0.002691,4142,2234,0.013333,4142,2234,0.005053,4142,2234,0.023719,
problem_100_100_2_3_5.txt,2460,2227,0.000016,978,925,10.520323,2472,2241,0.035511,2473,2241,0.013232,2473,2241,0.005370,2473,2241,0.015479,
problem_100_100_3_3_5.txt,3031,2321,0.000016,1182,952,10.521808,3062,2352,6.428971,3062,2352,0.013946,3062,2352,0.007568,3062,2352,0.035120,
problem_100_100_4_3_5.txt,2298,2298,0.000009,946,946,10.217456,553,553,10.002547,2352,2352,0.013738,2352,2352,0.002228,2352,2352,0.007491,
problem_100_500_1_3_5.txt,19429,12987,0.000017,5091,5001,10.418345,19464,13388,0.004323,19728,13385,0.078998,19728,13385,0.029391,19728,13385,0.022229,
problem_100_500_2_3_5.txt,14346,13213,0.000017,5267,5415,10.433433,14450,13372,0.002436,14512,13387,0.079437,14512,13387,0.026229,14512,13387,0.071229,
problem_100_500_3_3_5.txt,12674,11974,0.000017,6076,5846,10.238430,9430,8840,10.001633,12952,12252,0.071313,12952,12252,0.039702,12952,12252,0.247658,
problem_100_500_4_3_5.txt,12238,12238,0.000009,5846,5846,10.319841,3053,3053,10.002233,12252,12252,0.071546,12252,12252,0.011454,12252,12252,0.012714,
problem_100_1000_1_3_5.txt,42366,26293,0.000017,12650,11725,10.490394,42396,26872,0.003908,42821,26883,0.158058,42821,26883,0.057101,42821,26883,0.024274,
